Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
GDP (current US$),"NY.GDP.MKTP.CD","Afghanistan","AFG","..","..","10190529882.4878","12486943505.7381","15936800636.2487","17930239399.8149","20536542736.7297","20264253974.1138","20616104297.6662","19215562178.9798","19469022207.6357",".."
GDP (current US$),"NY.GDP.MKTP.CD","Albania","ALB","2101624962.5","3632043907.97733","12881352687.7773","12044212903.8168","11926953258.916","12890867538.5302","12319784787.2987","12776277515.48","13228244357.1813","11335264966.561","11863865978.0942",".."
GDP (current US$),"NY.GDP.MKTP.CD","Algeria","DZA","62045099642.7774","54790245600.5846","171000691877.714","137211039898.193","161207268655.392","200019057307.655","209058991952.125","209755003250.664","213810022462.428","165874330876.321","159049096745.249",".."
GDP (current US$),"NY.GDP.MKTP.CD","American Samoa","ASM","..","..","563000000","678000000","576000000","574000000","644000000","641000000","643000000","659000000","658000000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Andorra","AND","1029048481.88051","1434429703.33518","4007353156.58415","3660530702.97305","3355695364.23841","3442062830.13622","3164615186.94591","3281585236.32501","3350736367.25488","2811489408.89431","2858517699.11504",".."
GDP (current US$),"NY.GDP.MKTP.CD","Angola","AGO","10026737967.9144","9129594818.60749","84178032716.0971","75492384801.3695","82470913120.7314","104115923082.737","115398371427.673","124912063308.202","126776874216.703","102962245246.708","95335111741.2025",".."
GDP (current US$),"NY.GDP.MKTP.CD","Antigua and Barbuda","ATG","459469074.074074","830158768.888889","1368431037.03704","1224253000","1152469074.07407","1142042925.92593","1211411703.7037","1192925407.40741","1280133333.33333","1364863037.03704","1460144703.7037",".."
GDP (current US$),"NY.GDP.MKTP.CD","Argentina","ARG","141352368714.691","284203750000","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","584711485367.267","545476103427.247",".."
GDP (current US$),"NY.GDP.MKTP.CD","Armenia","ARM","2256838858.42714","1911563665.39006","11662040713.8753","8647936747.98704","9260284937.79782","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7543","10553337672.9872","10572298341.5618",".."
GDP (current US$),"NY.GDP.MKTP.CD","Aruba","ABW","..","1873452513.96648","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Australia","AUS","311425933051.174","415446209885.072","1055334825425.25","927168310999.853","1142876772659.21","1390557034407.97","1538194473087.23","1567178619062.28","1459597906912.7","1345383143356.35","1204616439828.41",".."
GDP (current US$),"NY.GDP.MKTP.CD","Austria","AUT","166463386663.439","196799778883.361","430294287388.311","400172297860.517","391892746544.69","431120310088.82","409425234155.263","430068712971.867","441885415805.825","382065930307.978","390799991147.468",".."
GDP (current US$),"NY.GDP.MKTP.CD","Azerbaijan","AZE","8858006035.91566","5272617196.04517","48852482960.0779","44291490420.5026","52902703376.1056","65951627200.2026","69684317718.9409","74164435946.4627","75244166772.9185","53074370486.0433","37847715736.0406",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bahamas, The","BHS","3166000000","6327552000","8247000000","7820000000","7910000000","7890000000","10720500000","10677200000","10843800000","11240000000","11261800000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bahrain","BHR","4229787234.04255","9062906914.89362","25710877659.5745","22938218085.1064","25713271276.5957","28776595744.6809","30749308510.6383","32539547872.3404","33387712765.9575","31125851063.8298","32179069148.9362",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bangladesh","BGD","31598341233.5793","53369787318.6245","91631278239.3237","102477791472.39","115279077465.226","128637938711.386","133355749482.478","149990451022.29","172885454931.453","195078665827.565","221415162445.648",".."
GDP (current US$),"NY.GDP.MKTP.CD","Barbados","BRB","2023318251.8769","3121500000","4607300000","4434050000","4461650000","4660900000","4656350000","4612500000","4608350000","4584150000","4529050000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Belarus","BLR","21650000000","12736856827.9847","60763483146.0674","49209523809.5238","57222490768.7143","61757788944.7236","65685102554.8759","75527984234.2342","78813839984.3506","56454734396.5842","47407217531.162",".."
GDP (current US$),"NY.GDP.MKTP.CD","Belgium","BEL","206430841501.69","237904919845.218","518625897172.99","484552792442.345","483548031197.108","527008453886.929","497884216568.867","520925468952.938","531075861047.287","455200045095.643","467955709817.539",".."
GDP (current US$),"NY.GDP.MKTP.CD","Belize","BLZ","413050000","832072450","1368625150","1336957250","1397113450","1486712300","1573618750","1613705850","1706497950","1742545900","1741100000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Benin","BEN","1959965243.76269","2569186642.86999","7132787396.66547","7097198711.61023","6970240895.49888","7814081155.64988","8152554487.31321","9156748441.42175","9707432015.61441","8290986804.45245","8583031398.21675",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bermuda","BMU","1592400000","3480219000","6109928000","5806378000","5744414000","5550771000","5537537000","5573710000","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bhutan","BTN","299787275.842376","439158233.199822","1258332337.28382","1264758197.96593","1585472534.10547","1820207625.80217","1823692109.61652","1798333725.83954","1944782820.88824","2059258652.94668","2212638830.39439",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bolivia","BOL","4867582620.20708","8397912509.09679","16674324634.2373","17339992165.2422","19649631308.1648","23963033443.8518","27084497539.7974","30659338929.0883","32996187988.4226","33000198263.3864","33806395513.7482",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bosnia and Herzegovina","BIH","..","5505984455.95855","19112739664.4697","17613836209.9581","17176781336.7644","18644723860.9709","17226849297.07","18178503835.4491","18558343508.3435","16209702863.6235","16910277133.6463",".."
GDP (current US$),"NY.GDP.MKTP.CD","Botswana","BWA","3790567051.86778","5788329609.15755","10945070441.9283","10267133177.7334","12786654365.8738","15682926895.9668","14686278707.4589","14915780538.6724","16259445052.5565","14430573505.3797","15581137273.7728",".."
GDP (current US$),"NY.GDP.MKTP.CD","Brazil","BRA","461951782000","655421153320.579","1695824517395.57","1667019605881.76","2208871646202.82","2616201578192.25","2465188674415.03","2472806919901.67","2455993200170","1803652649613.75","1796186586414.45",".."
GDP (current US$),"NY.GDP.MKTP.CD","British Virgin Islands","VGB","..","..","..","..","..","..","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Brunei Darussalam","BRN","3520551724.13793","6001153306.2645","14393099068.5859","10732366286.2643","13707370737.0737","18525319977.7407","19048495518.5659","18093829923.2737","17098342541.4365","12930394937.8137","11400653731.9916",".."
GDP (current US$),"NY.GDP.MKTP.CD","Bulgaria","BGR","20632090909.0909","13148099185.2305","54409138498.3548","51884481410.3931","50610031135.7791","57418391041.5926","53903028252.2996","55758744571.1183","56732006512.0065","50199117547.0415","53237882472.7108",".."
GDP (current US$),"NY.GDP.MKTP.CD","Burkina Faso","BFA","3101301780.95067","2628920056.10098","8369637065.40255","8369175126.25316","8979966766.07232","10724063457.8326","11166063466.5623","11947176341.9966","12377391462.6377","10419303761.3524","11693235542.0671",".."
GDP (current US$),"NY.GDP.MKTP.CD","Burundi","BDI","1132101252.51817","870486065.883137","1611634331.64869","1739781488.7457","2026864469.36388","2355652125.85184","2472384906.99793","2714505634.52629","3093647226.8107","3066681386.73841","3007029030.4001",".."
GDP (current US$),"NY.GDP.MKTP.CD","Cabo Verde","CPV","306891107.262039","539227277.626411","1789333748.6799","1711817181.52969","1664310769.55229","1864824080.69256","1751888561.72747","1850951315.45564","1858121723.24993","1574288667.69981","1617467435.77007",".."
GDP (current US$),"NY.GDP.MKTP.CD","Cambodia","KHM","..","3654031716.26881","10351914093.1723","10401851850.6108","11242275198.9783","12829541141.0127","14038383450.186","15449630418.5486","16777820332.7059","18049954289.4229","20016747754.0192",".."
GDP (current US$),"NY.GDP.MKTP.CD","Cameroon","CMR","11151578050.7356","10083937740.0624","26409781215.1844","26017925551.8426","26143818509.6421","29337006833.0825","29104437355.0395","32348149947.3727","34942948737.3967","30916218544.4404","32217497470.489",".."
GDP (current US$),"NY.GDP.MKTP.CD","Canada","CAN","593929550908.468","742293448252.643","1549131208997.19","1371153004986.44","1613464422811.13","1788647906047.76","1824288757447.57","1842628005830.18","1799268695861.8","1559623393038.66","1535767736946.18",".."
GDP (current US$),"NY.GDP.MKTP.CD","Cayman Islands","CYM","..","..","..","..","..","..","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Central African Republic","CAF","1440711395.67069","914500299.097034","1985239276.62611","1981728140.77833","1986014845.63184","2212699746.81377","2184183758.31567","1518565219.01061","1702898939.55483","1583776759.97697","1756124677.19671",".."
GDP (current US$),"NY.GDP.MKTP.CD","Chad","TCD","1738605558.05436","1385058161.76746","10351932604.4154","9253484108.49701","10657705536.4978","12156380425.0825","12368071038.7362","12949854262.8127","13922223233.5184","10888798113.7866","9600761473.78738",".."
GDP (current US$),"NY.GDP.MKTP.CD","Channel Islands","CHI","..","6439703434.71024","..","..","..","..","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Chile","CHL","33113887817.9731","77860932151.8471","179638496278.574","172389498444.621","218537551220.071","252251992029.442","267122320056.702","278384332694.313","260990299051.116","242517905161.664","247027912574.35",".."
