Year,Month,Date,North America,Europe,Other countries
2014,Jan,2014-01-01,238,"2,579",904
2014,Feb,2014-02-01,155,"2,529",699
2014,Mar,2014-03-01,226,"2,542",769
2014,Apr,2014-04-01,323,"3,713",960
2014,May,2014-05-01,289,"4,542",824
2014,June,2014-06-01,330,"5,075",649
2014,July,2014-07-01,293,"5,093",611
2014,Aug,2014-08-01,458,"6,567",950
2014,Sept,2014-09-01,453,"5,178",924
2014,Oct,2014-10-01,445,"4,042",810
2014,Nov,2014-11-01,255,"2,807",663
2014,Dec,2014-12-01,212,"2,360",617
2015,Jan,2015-01-01,225,"2,786","1,009"
2015,Feb,2015-02-01,201,"2,575",702
2015,Mar,2015-03-01,187,"3,170",878
2015,Apr,2015-04-01,293,"4,216","1,017"
2015,May,2015-05-01,356,"4,821",869
2015,June,2015-06-01,351,"5,449",721
2015,July,2015-07-01,358,"5,663",782
2015,Aug,2015-08-01,566,"7,039",985
2015,Sep,2015-09-01,457,"5,604",956
2015,Oct,2015-10-01,395,"4,682",754
2015,Nov,2015-11-01,297,"2,939",739
2015,Dec,2015-12-01,227,"2,798",653
2016,Jan,2016-01-01,287,"3,031",971
2016,Feb,2016-02-01,220,"3,272",801
2016,Mar,2016-03-01,227,"3,433",787
2016,Apr,2016-04-01,359,"4,576","1,074"
2016,May,2016-05-01,355,"4,988",714
2016,June,2016-06-01,365,"5,805",701
2016,July,2016-07-01,323,"6,060",690
2016,Aug,2016-08-01,543,"7,454","1,155"
2016,Sep,2016-09-01,433,"6,370","1,046"
2016,Oct,2016-10-01,410,"5,177",911
2016,Nov,2016-11-01,354,"3,130",856
2016,Dec,2016-12-01,257,"3,024",655
2017,Jan,2017-01-01,229,"3,539","1,071"
2017,Feb,2017-02-01,256,"3,259",856
2017,Mar,2017-03-01,217,"3,702",951
2017,Apr,2017-04-01,348,"4,857","1,162"
2017,May,2017-05-01,323,"4,885",806
2017,June,2017-06-01,328,"6,278",858
2017,July†,2017-07-01,350,"6,045",647
2017,Aug,2017-08-01,507,"7,592",935
2017,Sep,2017-09-01,465,"6,480",969
2017,Oct¹,2017-10-01,460,"5,120",770
2017,Nov¹,2017-11-01,240,"3,180",740
2017,Dec¹,2017-12-01,220,"2,930",740
